speed_adv,stat_adv,coverage_adv,weakness_adv,hp_adv,atk_adv,sp_atk_adv,def_adv,type_diversity_adv,role_balance_a,winner
7.1667,0.6667,2.0,-0.1667,10.1667,-11.0,22.5,-29.8333,2.0,0.4,1
4.8333,-26.0,0.0,-0.3333,-21.0,5.1667,-6.6667,1.8333,-1.0,0.6,0
-18.3333,-32.1667,-1.0,0.0,14.1667,-9.1667,-5.0,-16.5,0.0,0.6,1
-27.5,-5.1667,0.0,0.8333,7.5,-10.3333,4.5,6.6667,0.0,0.6,1
-0.8333,-8.8333,0.0,0.1667,8.3333,8.3333,0.1667,-23.3333,2.0,0.6,1
-0.1667,-60.3333,-4.0,-0.3333,-21.6667,-38.5,16.6667,-13.3333,-1.0,0.4,1
-11.8333,11.8333,4.0,-0.8333,-1.5,6.5,19.1667,-8.0,2.0,0.8,1
3.3333,14.6667,-3.0,0.6667,-1.5,-13.3333,15.6667,-2.8333,-1.0,0.6,1
-38.0,-140.1667,-3.0,0.0,10.5,-40.5,-25.0,-19.6667,0.0,0.4,1
-8.0,-57.1667,-6.0,1.1667,-7.5,-25.5,6.6667,-20.3333,-3.0,0.6,1
11.5,7.8333,2.0,0.3333,10.5,15.5,-15.1667,-1.6667,0.0,0.6,0
-15.8333,7.8333,8.0,-1.6667,9.3333,0.3333,6.3333,5.5,4.0,0.6,1
-0.3333,2.0,6.0,0.5,-16.6667,21.6667,-9.6667,-3.0,3.0,0.6,0
-27.1667,-151.6667,-2.0,0.8333,-28.3333,-37.0,-11.5,-21.0,0.0,0.6,1
9.8333,7.5,-1.0,-0.3333,2.3333,17.6667,-13.0,-1.3333,-1.0,0.8,1
7.1667,6.6667,-4.0,-0.1667,2.0,-17.8333,22.5,-26.3333,-1.0,0.6,0
-17.3333,-42.8333,0.0,-0.1667,0.8333,3.3333,-27.5,10.3333,0.0,0.6,1
5.0,35.1667,-1.0,-0.3333,1.0,3.5,8.3333,3.8333,0.0,0.6,1
11.8333,54.6667,-3.0,-0.8333,15.0,-9.0,34.1667,-19.0,1.0,0.6,0
4.0,75.6667,3.0,0.8333,37.3333,21.5,2.5,-1.3333,-1.0,0.4,0
-5.3333,-68.6667,0.0,-0.1667,-13.0,-3.6667,-16.5,-27.0,0.0,0.6,1
9.1667,21.1667,-1.0,1.3333,16.0,-11.6667,16.6667,-10.0,-1.0,0.6,1
-0.1667,-79.5,-4.0,0.1667,-20.1667,-25.6667,-6.6667,-13.5,1.0,0.8,1
-9.8333,-74.3333,1.0,0.3333,23.8333,-52.8333,-17.5,-11.3333,1.0,0.6,0
-2.3333,5.5,5.0,-0.6667,-7.5,14.1667,-19.1667,22.8333,1.0,0.6,0
19.0,53.3333,0.0,0.6667,6.5,18.1667,0.8333,-1.8333,1.0,0.8,0
23.6667,157.8333,1.0,-1.1667,14.1667,30.0,26.6667,35.0,-1.0,0.6,0
12.5,78.3333,2.0,-0.1667,21.6667,23.5,-11.6667,19.8333,2.0,0.8,0
0.8333,87.6667,2.0,-0.5,29.3333,13.6667,6.6667,28.6667,3.0,0.6,0
24.0,12.6667,3.0,0.0,-6.5,5.8333,-8.3333,0.0,3.0,0.6,0
22.8333,39.8333,-4.0,-0.1667,11.3333,1.0,5.0,-3.6667,-1.0,0.8,0
-14.3333,-15.0,2.0,-0.3333,-1.8333,4.0,-8.3333,8.8333,1.0,0.8,1
-1.0,51.0,2.0,-0.5,11.0,-0.5,21.6667,5.6667,-2.0,1.0,0
-4.1667,-19.1667,-1.0,-1.0,1.0,2.8333,-23.3333,11.1667,-2.0,0.6,1
-18.3333,-44.0,3.0,-1.0,-4.3333,16.3333,-23.0,1.5,1.0,0.6,0
-5.0,-9.3333,-2.0,0.5,1.8333,-3.5,-2.8333,-6.3333,1.0,0.6,1
3.8333,-72.0,-2.0,1.1667,-21.1667,-16.3333,-22.6667,-14.8333,1.0,0.6,0
-2.0,22.3333,3.0,-0.5,-10.1667,23.3333,-13.3333,21.1667,1.0,0.6,0
0.1667,107.5,-2.0,-0.3333,12.5,17.5,33.3333,24.0,0.0,0.4,0
20.3333,86.3333,-1.0,1.1667,52.5,5.6667,2.5,-24.6667,-1.0,0.4,0
-6.8333,-17.8333,-5.0,0.8333,30.5,-1.3333,0.0,-21.0,-2.0,0.6,1
10.8333,20.6667,-2.0,1.8333,18.3333,-0.6667,7.1667,-20.0,-1.0,0.6,0
21.3333,56.6667,3.0,-0.1667,9.6667,25.6667,1.6667,0.8333,1.0,0.8,0
28.3333,91.5,-2.0,1.3333,11.5,-16.5,34.3333,12.1667,-1.0,0.6,0
3.3333,23.0,-3.0,0.8333,6.1667,9.3333,-3.5,-13.0,-2.0,0.8,1
9.6667,-67.0,-4.0,0.1667,-23.5,-17.8333,-10.1667,-10.1667,-2.0,0.6,0
1.8333,-97.8333,5.0,-0.1667,-21.0,-25.3333,-18.0,-9.6667,2.0,0.4,1
29.6667,-17.0,-4.0,-0.1667,-15.0,9.6667,-5.8333,-33.0,-2.0,0.4,1
-5.0,-24.3333,-7.0,0.6667,-11.8333,2.5,-16.6667,7.5,-4.0,0.4,1
-8.8333,45.0,6.0,-1.8333,14.6667,14.6667,14.5,18.5,2.0,0.8,0
-5.3333,-26.6667,-1.0,-0.8333,-9.3333,10.5,-17.5,0.8333,1.0,0.4,0
-7.1667,-2.1667,-4.0,0.1667,15.3333,5.5,3.5,-12.8333,-2.0,0.6,1
-10.8333,-75.0,1.0,-0.8333,-5.6667,-24.3333,-11.6667,4.1667,0.0,0.8,1
9.3333,73.3333,-7.0,0.5,26.6667,16.1667,10.0,11.1667,-5.0,0.6,1
25.8333,72.6667,2.0,0.5,9.3333,9.6667,-2.5,12.0,0.0,1.0,0
-7.8333,-13.1667,-1.0,-0.5,4.3333,-1.5,1.6667,-1.5,-2.0,0.6,1
3.6667,-54.0,-5.0,-0.5,-15.5,-17.1667,-21.6667,0.0,-3.0,0.4,0
3.6667,17.0,2.0,0.0,9.1667,8.6667,-7.3333,-19.8333,3.0,0.8,0
-3.1667,-12.6667,-2.0,1.3333,-0.8333,-13.5,14.0,-2.3333,-1.0,0.4,1
-7.3333,27.5,0.0,-0.8333,-1.0,-4.8333,13.3333,19.0,0.0,0.6,0
23.8333,123.6667,1.0,0.0,2.0,27.5,15.0,37.0,0.0,0.6,0
3.3333,46.0,-3.0,0.3333,35.1667,-1.3333,6.5,-15.8333,-1.0,0.6,0
5.5,-1.6667,-1.0,0.1667,-5.5,5.8333,-7.6667,-1.5,1.0,0.6,1
6.3333,72.5,5.0,-1.5,19.0,12.5,24.3333,3.8333,2.0,0.8,0
2.8333,77.8333,3.0,-1.5,18.3333,42.5,-13.3333,14.0,2.0,0.6,0
-17.8333,2.6667,6.0,0.3333,-2.0,11.5,-7.8333,3.3333,2.0,0.6,0
3.6667,12.8333,-2.0,-0.1667,25.1667,4.8333,-8.3333,-5.8333,0.0,0.6,0
9.6667,-32.0,-3.0,0.6667,-25.0,-4.6667,-8.3333,-8.5,-2.0,0.6,1
30.6667,-1.1667,-1.0,-0.8333,-21.6667,-19.8333,16.8333,-12.1667,-2.0,0.6,0
-17.6667,-68.6667,4.0,-0.3333,-21.0,-8.3333,-16.6667,-8.3333,-1.0,0.6,1
-0.5,34.3333,-3.0,0.1667,12.0,-3.5,5.8333,6.6667,-2.0,0.8,0
6.1667,95.8333,6.0,-0.5,-13.5,18.8333,28.3333,21.8333,2.0,0.4,0
13.0,-44.1667,-4.0,1.1667,2.0,-31.3333,3.3333,-27.0,-3.0,0.8,1
-6.0,-17.0,-3.0,0.0,-10.5,6.1667,0.1667,-3.6667,0.0,0.6,0
1.1667,45.5,-3.0,0.5,9.3333,11.1667,8.3333,15.6667,-2.0,0.6,1
13.6667,51.3333,1.0,-0.1667,-1.1667,4.3333,23.3333,-16.1667,1.0,0.6,0
9.0,45.1667,-2.0,1.0,19.6667,8.5,2.5,-15.3333,-2.0,0.6,0
6.6667,45.8333,0.0,0.3333,6.6667,-14.1667,33.3333,-0.8333,0.0,0.8,0
-6.6667,24.0,-2.0,-1.1667,9.0,0.8333,15.6667,-11.5,-2.0,0.8,1
-10.5,-97.5,-1.0,-0.1667,-36.8333,-24.8333,-0.8333,-3.8333,-1.0,0.8,1
9.3333,50.8333,2.0,0.1667,4.3333,8.6667,-2.5,19.3333,2.0,0.6,0
10.5,13.5,1.0,-0.1667,-7.1667,1.1667,-4.1667,11.3333,1.0,0.8,0
-22.0,-56.0,6.0,-0.3333,-11.8333,-16.5,-4.5,9.6667,3.0,0.4,1
23.0,46.8333,0.0,0.0,0.5,19.1667,3.3333,-6.6667,1.0,0.8,0
-0.1667,-106.1667,0.0,-0.5,-35.0,-31.6667,-17.5,6.5,-2.0,0.4,1
-15.5,37.3333,2.0,-0.6667,8.1667,3.0,-15.8333,38.3333,-1.0,0.6,1
4.1667,71.6667,-1.0,-0.1667,7.1667,19.3333,13.1667,19.6667,-2.0,0.6,1
13.3333,-50.5,-1.0,0.6667,-5.6667,9.1667,-36.8333,-13.0,-1.0,0.8,0
4.0,-80.6667,-1.0,0.5,-17.6667,-23.3333,-8.8333,-16.0,-3.0,0.4,1
4.0,80.1667,-4.0,0.6667,25.0,4.8333,10.3333,2.3333,0.0,0.6,0
-3.5,-84.0,-4.0,1.3333,-6.0,-26.6667,-15.8333,-34.5,-2.0,0.6,1
-1.5,-80.3333,-2.0,0.5,-1.1667,-33.6667,-9.0,-30.5,-2.0,0.6,1
-2.8333,-100.0,1.0,0.5,-11.6667,-17.1667,-20.0,-14.1667,1.0,0.6,1
-27.3333,-32.6667,0.0,0.5,-0.6667,-23.1667,13.6667,-4.3333,1.0,0.6,1
45.3333,141.3333,-1.0,0.6667,10.8333,27.1667,18.3333,6.3333,0.0,1.0,0
-9.3333,13.3333,0.0,0.5,30.6667,13.1667,10.0,-21.1667,0.0,0.8,0
-18.1667,-33.3333,-5.0,0.1667,5.8333,13.0,-12.5,-17.1667,-3.0,0.6,1
17.8333,33.0,-1.0,0.3333,-6.6667,21.0,8.6667,-21.0,-1.0,0.6,0
4.1667,17.5,-1.0,0.0,16.6667,4.5,-5.0,-7.8333,0.0,0.6,0
-10.1667,-27.0,-4.0,0.5,-9.5,12.5,-12.0,-6.6667,-2.0,0.6,1
14.8333,13.6667,-1.0,-0.3333,-4.1667,-13.0,16.6667,-12.3333,0.0,0.4,0
10.5,16.1667,-4.0,1.5,-4.0,6.8333,14.1667,-18.8333,-3.0,0.6,1
-4.1667,-30.1667,-4.0,1.0,-8.5,-15.3333,4.3333,0.1667,-2.0,0.4,1
-2.8333,-79.0,5.0,1.0,-20.8333,-1.3333,-23.5,-11.8333,0.0,0.8,0
-6.1667,33.8333,3.0,0.0,25.3333,-3.8333,9.0,-3.0,3.0,0.8,1
-3.5,-45.6667,2.0,-0.6667,-6.3333,-1.6667,-14.6667,-9.1667,0.0,0.6,1
24.1667,44.3333,4.0,-1.3333,6.3333,3.6667,15.0,-14.8333,3.0,0.2,0
0.8333,32.6667,1.0,0.0,-5.3333,16.8333,-14.1667,31.3333,1.0,0.6,0
6.6667,-74.8333,-4.0,0.3333,-19.6667,-32.5,1.1667,-19.0,-2.0,0.6,1
9.5,49.6667,-1.0,0.3333,37.5,-4.5,22.1667,-24.1667,1.0,0.6,1
9.1667,43.1667,2.0,1.0,21.0,10.6667,0.0,-12.5,1.0,0.8,0
6.1667,51.1667,3.0,-1.0,10.0,-2.8333,9.8333,10.1667,2.0,0.6,0
